PANEL;PANEL TG2 N2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element ID;zigbee:1_zd_WHr_I;zigbee:2_zd_WHr_I;zigbee:3_zd_WHr_I;zigbee:4_zd_WHr_I;zigbee:5_zd_WHr_I;zigbee:6_zd_WHr_I;zigbee:7_zd_WHr_I;zigbee:8_zd_WHr_I;zigbee:9_zd_WHr_I;zigbee:10_zd_WHr_I;zigbee:11_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:13_zd_WHr_I;zigbee:14_zd_WHr_I;zigbee:15_zd_WHr_I;zigbee:16_zd_WHr_I;zigbee:17_zd_WHr_I;zigbee:18_zd_WHr_I;zigbee:19_zd_WHr_I;zigbee:20_zd_WHr_I;zigbee:21_zd_WHr_I;zigbee:22_zd_WHr_I;zigbee:23_zd_WHr_I;zigbee:24_zd_WHr_I;zigbee:25_zd_WHr_I;zigbee:26_zd_WHr_I;zigbee:27_zd_WHr_I;zigbee:28_zd_WHr_I;zigbee:29_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:31_zd_WHr_I;zigbee:32_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:34_zd_WHr_I;modbus:1_mb_WHr_I;zigbee:32_zd_VARHr_I;zigbee:32_zd_VARHr_O;modbus:1_mb_VARHr_I;modbus:1_mb_VARHr_O;zigbee:11_zd_VARHr_I;zigbee:11_zd_VARHr_O;zigbee:12_zd_VARHr_I;zigbee:12_zd_VARHr_O;zigbee:30_zd_VARHr_I;zigbee:30_zd_VARHr_O;zigbee:33_zd_VARHr_I;zigbee:33_zd_VARHr_O;zigbee:4_zd_VARHr_I;zigbee:4_zd_VARHr_O;zigbee:31_zd_VARHr_I;zigbee:31_zd_VARHr_O
2025/09/01 07:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 07:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 07:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 08:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 08:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 08:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 08:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 08:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 08:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 09:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 09:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 09:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 09:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 09:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 09:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 10:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 10:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 10:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 10:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 10:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 10:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 11:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 11:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 11:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 11:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 11:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 11:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 12:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 12:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 12:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 12:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 12:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 12:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148159;0;0;7031;59372;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 13:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148416;0;0;7031;59480;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 13:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148675;0;0;7031;59587;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 13:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148966;0;0;7031;59728;0;0;0;0;0;0;0;0;0;0;0;0
