PANEL;PANEL TG2 N2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element ID;zigbee:1_zd_WHr_I;zigbee:2_zd_WHr_I;zigbee:3_zd_WHr_I;zigbee:4_zd_WHr_I;zigbee:5_zd_WHr_I;zigbee:6_zd_WHr_I;zigbee:7_zd_WHr_I;zigbee:8_zd_WHr_I;zigbee:9_zd_WHr_I;zigbee:10_zd_WHr_I;zigbee:11_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:13_zd_WHr_I;zigbee:14_zd_WHr_I;zigbee:15_zd_WHr_I;zigbee:16_zd_WHr_I;zigbee:17_zd_WHr_I;zigbee:18_zd_WHr_I;zigbee:19_zd_WHr_I;zigbee:20_zd_WHr_I;zigbee:21_zd_WHr_I;zigbee:22_zd_WHr_I;zigbee:23_zd_WHr_I;zigbee:24_zd_WHr_I;zigbee:25_zd_WHr_I;zigbee:26_zd_WHr_I;zigbee:27_zd_WHr_I;zigbee:28_zd_WHr_I;zigbee:29_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:31_zd_WHr_I;zigbee:32_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:34_zd_WHr_I;modbus:1_mb_WHr_I;zigbee:32_zd_VARHr_I;zigbee:32_zd_VARHr_O;modbus:1_mb_VARHr_I;modbus:1_mb_VARHr_O;zigbee:11_zd_VARHr_I;zigbee:11_zd_VARHr_O;zigbee:12_zd_VARHr_I;zigbee:12_zd_VARHr_O;zigbee:30_zd_VARHr_I;zigbee:30_zd_VARHr_O;zigbee:33_zd_VARHr_I;zigbee:33_zd_VARHr_O;zigbee:4_zd_VARHr_I;zigbee:4_zd_VARHr_O;zigbee:31_zd_VARHr_I;zigbee:31_zd_VARHr_O
2025/09/01 01:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 01:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 01:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 01:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 01:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 01:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 02:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 02:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 02:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 02:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 03:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 03:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 03:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 03:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 03:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 03:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 04:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 04:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 04:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 04:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 05:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 05:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 05:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 05:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 05:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 05:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 06:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 06:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 06:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 06:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 06:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 06:50:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 07:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 07:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
2025/09/01 07:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147973;0;0;7031;59292;0;0;0;0;0;0;0;0;0;0;0;0
