ID,IMEI,NAME
zigbee:19_zd_WHr_O,,Q57
zigbee:19_zd_WHr_I,,Q57
zigbee:14_zd_WHr_O,,Q49-307-Sol y sombra
zigbee:8_zd_WHr_O,,Q36
zigbee:30_zd_WHr_I,,Q46
zigbee:27_zd_WHr_I,,Q65
zigbee:8_zd_WHr_I,,Q36
zigbee:30_zd_WHr_O,,Q46
zigbee:14_zd_WHr_I,,Q49-307-Sol y sombra
zigbee:22_zd_WHr_O,,Q60
zigbee:22_zd_WHr_I,,Q60
zigbee:27_zd_WHr_O,,Q65
zigbee:26_zd_WHr_O,,Q64
zigbee:3_zd_WHr_O,,Q69
zigbee:3_zd_WHr_I,,Q69
zigbee:4_zd_WHr_I,,Q44
zigbee:4_zd_WHr_O,,Q44
zigbee:26_zd_WHr_I,,Q64
zigbee:10_zd_WHr_O,,Q39-304-Reserva Equipada
zigbee:10_zd_WHr_I,,Q39-304-Reserva Equipada
zigbee:23_zd_WHr_O,,Q61
zigbee:28_zd_WHr_I,,Q66
zigbee:23_zd_WHr_I,,Q61
zigbee:18_zd_WHr_I,,Q55
zigbee:18_zd_WHr_O,,Q55
zigbee:33_zd_WHr_O,,Q48
zigbee:33_zd_WHr_I,,Q48
zigbee:25_zd_WHr_I,,Q63
zigbee:25_zd_WHr_O,,Q63
zigbee:15_zd_WHr_O,,Q51-309
zigbee:5_zd_WHr_O,,Q56
zigbee:5_zd_WHr_I,,Q56
zigbee:12_zd_WHr_O,,Q43
zigbee:28_zd_WHr_O,,Q66
zigbee:2_zd_WHr_I,,Q42
zigbee:15_zd_WHr_I,,Q51-309
zigbee:2_zd_WHr_O,,Q42
zigbee:32_zd_WHr_I,,Q50
zigbee:6_zd_WHr_I,,Q40
zigbee:32_zd_WHr_O,,Q50
zigbee:6_zd_WHr_O,,Q40
zigbee:29_zd_WHr_I,,Q67
zigbee:29_zd_WHr_O,,Q67
zigbee:12_zd_WHr_I,,Q43
zigbee:24_zd_WHr_O,,Q62
zigbee:1_zd_WHr_I,,Q41
zigbee:1_zd_WHr_O,,Q41
zigbee:16_zd_WHr_O,,Q53
zigbee:20_zd_WHr_O,,Q58
zigbee:16_zd_WHr_I,,Q53
zigbee:20_zd_WHr_I,,Q58
zigbee:17_zd_WHr_O,,Q54
zigbee:17_zd_WHr_I,,Q54
zigbee:7_zd_WHr_I,,Q35
zigbee:7_zd_WHr_O,,Q35
zigbee:13_zd_WHr_I,,Q47-312
zigbee:31_zd_WHr_O,,Q52-PIZZA HUT
zigbee:31_zd_WHr_I,,Q52-PIZZA HUT
modbus:1_mb_WHr_O,,Q68-SMART FIT
modbus:1_mb_WHr_I,,Q68-SMART FIT
zigbee:13_zd_WHr_O,,Q47-312
zigbee:11_zd_WHr_I,,Q45
zigbee:11_zd_WHr_O,,Q45
zigbee:9_zd_WHr_I,,Q38
zigbee:9_zd_WHr_O,,Q38
zigbee:34_zd_WHr_I,,Q37
zigbee:24_zd_WHr_I,,Q62
zigbee:21_zd_WHr_O,,Q59
zigbee:21_zd_WHr_I,,Q59
zigbee:34_zd_WHr_O,,Q37
