data_3.csv_zigbee:19_zd_WHr_I,LOCAL 120 SUNTIME,809010503286837
data_3.csv_zigbee:42_zd_WHr_I,LOCAL 101B,382961957244554	
data_3.csv_zigbee:47_zd_WHr_I,LOCAL 306-307 KFC,368944276326380
data_3.csv_zigbee:30_zd_WHr_I,LOCAL 208 CASA IDEAS,.
data_3.csv_zigbee:14_zd_WHr_I,LOCAL 125 ADIDAS,730604977986531
data_3.csv_zigbee:4_zd_WHr_I,LOCAL 115 LA EMPAPADA,843678272397693
data_3.csv_zigbee:35_zd_WHr_I,LOCAL 202,791874624776655
data_3.csv_zigbee:26_zd_WHr_I,LOCAL 212,.
data_3.csv_zigbee:51_zd_WHr_I,LOCAL 310-311 PIZZA HUT,259159536856297
data_3.csv_zigbee:28_zd_WHr_I,LOCAL 210 CASA IDEAS,.
data_3.csv_zigbee:23_zd_WHr_I,LOCAL 103 BE SIFRAH,735182978641378
data_3.csv_zigbee:38_zd_WHr_I,LOCAL 304-305,.
data_3.csv_zigbee:33_zd_WHr_I,LOCAL 204,573652195092661
data_3.csv_zigbee:40_zd_WHr_I,RESERVA EQUIPADA LCE41,.
data_3.csv_zigbee:2_zd_WHr_I,LOCAL 117,558514901302876
data_3.csv_zigbee:37_zd_WHr_I,RESERVA EQUIPADA LCE38,.
data_3.csv_zigbee:1_zd_WHr_I,LOCAL 118 SUNTIME,40661316400158
data_3.csv_zigbee:17_zd_WHr_I,LOCAL 122 TODO MODA,282329000269186
data_3.csv_zigbee:7_zd_WHr_I,LOCAL 112 MINISO,838801505220759
data_3.csv_zigbee:41_zd_WHr_I,LOCAL 301-302,778116972188453
data_3.csv_zigbee:31_zd_WHr_I,RESERVA EQUIPADA LCE31,.
data_3.csv_zigbee:11_zd_WHr_I,LOCAL 108A MAYLIN,401177734746005
data_3.csv_zigbee:44_zd_WHr_I,LOCAL 313 SMARTFIT,621142403014267
data_3.csv_zigbee:34_zd_WHr_I,LOCAL 203,987848762436274
data_3.csv_zigbee:24_zd_WHr_I,LOCAL 102 COOLBOX,176477322135499
data_3.csv_zigbee:21_zd_WHr_I,LOCAL 105 AZALEIA,300569076423736
data_3.csv_zigbee:50_zd_WHr_I,RESERVA EQUIPADA LCE51,.
data_3.csv_zigbee:27_zd_WHr_I,LOCAL 211 CASA IDEAS,.
data_3.csv_zigbee:8_zd_WHr_I,LOCAL 111 MINISO,798095322637657
data_3.csv_zigbee:22_zd_WHr_I,LOCAL 104,537993829986603
data_3.csv_zigbee:3_zd_WHr_I,LOCAL 116 LA EMPAPADA,445825469710863
data_3.csv_zigbee:48_zd_WHr_I,RESERVA EQUIPADA LCE49,.
