ID,IMEI,NAME
zigbee:19_zd_WHr_O,,LOCAL 108B
zigbee:19_zd_WHr_I,,LOCAL 108B
zigbee:14_zd_WHr_O,,PISO 3 SECTOR 1B M308
zigbee:8_zd_WHr_O,,LOCAL 202
zigbee:30_zd_WHr_I,,LOCAL 208 CASA IDEAS
zigbee:27_zd_WHr_I,,LOCAL M204
zigbee:8_zd_WHr_I,,LOCAL 202
zigbee:30_zd_WHr_O,,LOCAL 208 CASA IDEAS
zigbee:14_zd_WHr_I,,PISO 3 SECTOR 1B M308
zigbee:22_zd_WHr_O,,LOCAL M103
zigbee:22_zd_WHr_I,,LOCAL M103
zigbee:27_zd_WHr_O,,LOCAL M204
zigbee:26_zd_WHr_O,,LOCAL M203
zigbee:3_zd_WHr_O,,TABLERO DE DAMPERS
zigbee:3_zd_WHr_I,,TABLERO DE DAMPERS
zigbee:4_zd_WHr_I,,LOCAL 301
zigbee:4_zd_WHr_O,,LOCAL 301
zigbee:26_zd_WHr_I,,LOCAL M203
zigbee:10_zd_WHr_O,,RESERVA EQUIPADA LCN39
zigbee:10_zd_WHr_I,,RESERVA EQUIPADA LCN39
zigbee:23_zd_WHr_O,,LOCAL M104
zigbee:28_zd_WHr_I,,PISO 3 SECTOR 1B M306
zigbee:23_zd_WHr_I,,LOCAL M104
zigbee:18_zd_WHr_I,,LOCAL M106
zigbee:18_zd_WHr_O,,LOCAL M106
zigbee:33_zd_WHr_O,,LOCAL 306-307 KFC
zigbee:33_zd_WHr_I,,LOCAL 306-307 KFC
zigbee:25_zd_WHr_I,,LOCAL M202
zigbee:25_zd_WHr_O,,LOCAL M202
zigbee:15_zd_WHr_O,,PISO 2 SECTOR 1B M303
zigbee:5_zd_WHr_O,,LOCAL 101B
zigbee:5_zd_WHr_I,,LOCAL 101B
zigbee:12_zd_WHr_O,,LOCAL 304-305
zigbee:28_zd_WHr_O,,PISO 3 SECTOR 1B M306
zigbee:2_zd_WHr_I,,PISO 3 SECTOR 1B M307
zigbee:15_zd_WHr_I,,PISO 2 SECTOR 1B M303
zigbee:2_zd_WHr_O,,PISO 3 SECTOR 1B M307
zigbee:32_zd_WHr_I,,LOCAL 308 KFC
zigbee:6_zd_WHr_I,,LOCAL 303 
zigbee:32_zd_WHr_O,,LOCAL 308 KFC
zigbee:6_zd_WHr_O,,LOCAL 303 
zigbee:29_zd_WHr_I,,PISO 3 SECTOR 1B M305
zigbee:29_zd_WHr_O,,PISO 3 SECTOR 1B M305
zigbee:12_zd_WHr_I,,LOCAL 304-305
zigbee:24_zd_WHr_O,,LOCAL M201
zigbee:1_zd_WHr_I,,PISO 3 SECTOR 1B M302
zigbee:1_zd_WHr_O,,PISO 3 SECTOR 1B M302
zigbee:16_zd_WHr_O,,PISO 3 SECTOR 1B M304
zigbee:20_zd_WHr_O,,MODULO M101
zigbee:16_zd_WHr_I,,PISO 3 SECTOR 1B M304
zigbee:17_zd_WHr_O,,LOCAL M105
zigbee:20_zd_WHr_I,,MODULO M101
zigbee:17_zd_WHr_I,,LOCAL M105
zigbee:7_zd_WHr_I,,LOCAL 203
zigbee:7_zd_WHr_O,,LOCAL 203
zigbee:13_zd_WHr_I,,LOCAL 312
zigbee:31_zd_WHr_O,,LOCAL 310 PIZZA HUT
zigbee:31_zd_WHr_I,,LOCAL 310 PIZZA HUT
modbus:1_mb_WHr_O,,LOCAL 313 SMARTFIT
modbus:1_mb_WHr_I,,LOCAL 313 SMARTFIT
zigbee:13_zd_WHr_O,,LOCAL 312
zigbee:11_zd_WHr_I,,LOCAL 101A STARBUCKS
zigbee:11_zd_WHr_O,,LOCAL 101A STARBUCKS
zigbee:9_zd_WHr_I,,PISO 3 SECTOR 1B M301
zigbee:9_zd_WHr_O,,PISO 3 SECTOR 1B M301
zigbee:34_zd_WHr_I,,LOCAL 201
zigbee:24_zd_WHr_I,,LOCAL M201
zigbee:21_zd_WHr_O,,MODULO M102
zigbee:21_zd_WHr_I,,MODULO M102
zigbee:34_zd_WHr_O,,LOCAL 201
