ID,zigbee:19_zd_WHr_O,zigbee:19_zd_WHr_I,zigbee:14_zd_WHr_O,zigbee:8_zd_WHr_O,zigbee:30_zd_WHr_I,zigbee:27_zd_WHr_I,zigbee:8_zd_WHr_I,zigbee:30_zd_WHr_O,zigbee:14_zd_WHr_I,zigbee:22_zd_WHr_O,zigbee:22_zd_WHr_I,zigbee:27_zd_WHr_O,zigbee:26_zd_WHr_O,zigbee:3_zd_WHr_O,zigbee:3_zd_WHr_I,zigbee:4_zd_WHr_I,zigbee:4_zd_WHr_O,zigbee:26_zd_WHr_I,zigbee:10_zd_WHr_O,zigbee:10_zd_WHr_I,zigbee:23_zd_WHr_O,zigbee:28_zd_WHr_I,zigbee:23_zd_WHr_I,zigbee:18_zd_WHr_I,zigbee:18_zd_WHr_O,zigbee:33_zd_WHr_O,zigbee:33_zd_WHr_I,zigbee:25_zd_WHr_I,zigbee:25_zd_WHr_O,zigbee:15_zd_WHr_O,zigbee:5_zd_WHr_O,zigbee:5_zd_WHr_I,zigbee:12_zd_WHr_O,zigbee:28_zd_WHr_O,zigbee:2_zd_WHr_I,zigbee:15_zd_WHr_I,zigbee:2_zd_WHr_O,zigbee:32_zd_WHr_I,zigbee:6_zd_WHr_I,zigbee:32_zd_WHr_O,zigbee:6_zd_WHr_O,zigbee:29_zd_WHr_I,zigbee:29_zd_WHr_O,zigbee:12_zd_WHr_I,zigbee:24_zd_WHr_O,zigbee:1_zd_WHr_I,zigbee:1_zd_WHr_O,zigbee:16_zd_WHr_O,zigbee:20_zd_WHr_O,zigbee:16_zd_WHr_I,zigbee:20_zd_WHr_I,zigbee:17_zd_WHr_O,zigbee:17_zd_WHr_I,zigbee:7_zd_WHr_I,zigbee:7_zd_WHr_O,zigbee:13_zd_WHr_I,zigbee:31_zd_WHr_O,zigbee:31_zd_WHr_I,modbus:1_mb_WHr_O,modbus:1_mb_WHr_I,zigbee:13_zd_WHr_O,zigbee:11_zd_WHr_I,zigbee:11_zd_WHr_O,zigbee:9_zd_WHr_I,zigbee:9_zd_WHr_O,zigbee:34_zd_WHr_I,zigbee:24_zd_WHr_I,zigbee:21_zd_WHr_O,zigbee:21_zd_WHr_I,zigbee:34_zd_WHr_O
2025/09/01 09:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,147973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 10:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,147973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 11:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,147973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 12:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,147973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 13:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,148416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 14:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,150271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 15:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,152097,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 16:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,154011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 17:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,156200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2025/09/01 18:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,157825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
