"sep=;"
A;modbus:9_mb_WHr_I;modbus:8_mb_WHr_I;modbus:8_mb_WHr_I;modbus:8_mb_WHr_I;modbus:9_mb_WHr_I;modbus:9_mb_WHr_I
Device Name;TTA-1 - MEDICION EMERGENCIA;TG1 - MEDICION GENERAL;TG1 - MEDICION GENERAL;TG1 - MEDICION GENERAL;TTA-1 - MEDICION EMERGENCIA;TTA-1 - MEDICION EMERGENCIA
Device type;;;;;;
Measurement Name;Total Delivered Active Energy;Total Delivered Active Energy;Total Delivered Reactive Energy;Total Received Reactive Energy;Total Delivered Reactive Energy;Total Received Reactive Energy
Measurement Unit;Wh;Wh;VArh;VArh;VArh;VArh
2025/09/10 03:30:00;43058981;41956633;5871700;8701038;1787056;15369451
2025/09/10 03:40:00;43064711;41962587;5871700;8703233;1787056;15371644
2025/09/10 03:50:00;43070469;41968556;5871700;8705417;1787056;15373830
2025/09/10 04:00:00;43076181;41974401;5871700;8707607;1787056;15376014
2025/09/10 04:10:00;43081899;41980169;5871700;8709790;1787056;15378199
2025/09/10 04:20:00;43087598;41985950;5871700;8711978;1787056;15380382
2025/09/10 04:30:00;43093279;41991849;5871700;8714165;1787056;15382567
2025/09/10 04:40:00;43098979;41997768;5871700;8716345;1787056;15384746
2025/09/10 04:50:00;43104717;42003725;5871700;8718519;1787056;15386919
2025/09/10 05:00:00;43110386;42009613;5871700;8720703;1787056;15389102
2025/09/10 05:10:00;43116122;42015557;5871700;8722870;1787056;15391271
2025/09/10 05:20:00;43121889;42021542;5871700;8725028;1787056;15393429
2025/09/10 05:30:00;43127634;42027503;5871700;8727187;1787056;15395587
2025/09/10 05:40:00;43133393;42033481;5871700;8729347;1787056;15397746
2025/09/10 05:50:00;43139170;42039392;5871700;8731502;1787056;15399900
2025/09/10 06:00:00;43144940;42045221;5871700;8733654;1787056;15402052
2025/09/10 06:10:00;43150678;42051019;5871700;8735807;1787056;15404205
