"sep=;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2
Element ID;zigbee:1_zd_WHr_I;zigbee:2_zd_WHr_I;.;zigbee:4_zd_WHr_I;zigbee:5_zd_WHr_I;zigbee:6_zd_WHr_I;zigbee:7_zd_WHr_I;zigbee:8_zd_WHr_I;zigbee:9_zd_WHr_I;.;zigbee:11_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:13_zd_WHr_I;zigbee:14_zd_WHr_I;zigbee:15_zd_WHr_I;zigbee:16_zd_WHr_I;zigbee:17_zd_WHr_I;zigbee:18_zd_WHr_I;zigbee:19_zd_WHr_I;zigbee:20_zd_WHr_I;zigbee:21_zd_WHr_I;zigbee:22_zd_WHr_I;zigbee:23_zd_WHr_I;zigbee:24_zd_WHr_I;zigbee:25_zd_WHr_I;zigbee:26_zd_WHr_I;zigbee:27_zd_WHr_I;zigbee:28_zd_WHr_I;zigbee:29_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:31_zd_WHr_I;zigbee:32_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:34_zd_WHr_I;modbus:1_mb_WHr_I;zigbee:32_zd_WHr_I;zigbee:32_zd_WHr_I;modbus:1_mb_WHr_I;modbus:1_mb_WHr_I;zigbee:11_zd_WHr_I;zigbee:11_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:12_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:30_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:33_zd_WHr_I;zigbee:4_zd_WHr_I;zigbee:4_zd_WHr_I;zigbee:31_zd_WHr_I;zigbee:31_zd_WHr_I
2025/09/01 04:20:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 04:30:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 04:40:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 04:50:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 05:00:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 05:10:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 05:20:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 05:30:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 05:40:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
2025/09/01 05:50:00;NaN;NaN;0;NaN;0;0;0;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;147973;;;7031;59292;;;;;;;;;;;;
